Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 0,16,5,ENE,Mist,0.0,95,2,1011,5,17,17,17,10,17,1
1/1/2009 100,16,4,ENE,Mist,0.0,96,2,1011,7,17,16,17,9,17,1
1/1/2009 200,15,4,ENE,Mist,0.0,96,2,1011,8,17,16,17,8,17,1
1/1/2009 300,15,4,ENE,Mist,0.0,96,2,1011,10,17,16,17,8,17,1
1/1/2009 400,17,5,ENE,Mist,0.0,90,5,1012,6,20,17,19,8,19,1
1/1/2009 500,19,6,NE,Clear,0.0,83,7,1012,3,23,18,21,9,21,1
1/1/2009 600,22,8,NE,Clear,0.0,76,10,1013,0,26,19,24,9,24,1
1/1/2009 700,23,9,NE,Sunny,0.0,68,10,1013,2,26,18,25,10,26,1
1/1/2009 800,25,10,NE,Sunny,0.0,59,10,1012,3,27,17,26,12,27,1
1/1/2009 900,27,11,NE,Sunny,0.0,51,10,1012,5,28,16,27,13,28,1
1/1/2009 1000,27,11,NE,Sunny,0.0,49,10,1011,9,28,16,28,13,28,1
1/1/2009 1100,28,12,NE,Sunny,0.0,48,10,1011,13,28,16,28,13,28,1
1/1/2009 1200,28,12,NE,Sunny,0.0,46,10,1010,17,28,15,28,14,28,1
1/1/2009 1300,26,10,NE,Sunny,0.0,53,10,1010,13,27,16,27,12,27,1
1/1/2009 1400,25,8,ENE,Sunny,0.0,60,10,1010,9,26,17,25,11,26,1
1/1/2009 1500,23,6,ENE,Sunny,0.0,68,10,1010,5,25,17,24,10,25,1
1/1/2009 1600,22,6,ENE,Sunny,0.0,72,10,1011,4,25,18,23,10,23,1
1/1/2009 1700,21,7,ENE,Sunny,0.0,77,10,1011,2,25,18,22,11,22,1
1/1/2009 1800,19,8,ENE,Sunny,0.0,81,10,1012,0,24,18,21,12,21,1
1/1/2009 1900,18,7,ENE,Clear,0.0,85,10,1012,0,22,18,20,12,20,1
1/1/2009 2000,17,6,E,Clear,0.0,89,10,1012,0,20,17,19,12,19,1
1/1/2009 2100,16,6,E,Clear,0.0,93,10,1013,0,18,17,18,12,18,1
1/1/2009 2200,16,6,E,Clear,0.0,93,10,1012,0,18,17,18,11,18,1
1/1/2009 2300,16,6,E,Clear,0.0,92,10,1012,0,19,17,19,11,19,1
2/1/2009 0,15,6,E,Clear,0.0,92,10,1011,0,19,17,19,10,19,1
2/1/2009 100,15,6,E,Clear,0.0,93,7,1011,0,18,17,18,10,18,1
2/1/2009 200,15,5,E,Mist,0.0,94,5,1012,0,18,17,18,10,18,1
2/1/2009 300,15,5,ENE,Mist,0.0,94,2,1012,0,18,17,18,9,18,1
2/1/2009 400,17,6,ENE,Mist,0.0,87,5,1012,0,21,18,20,9,20,1
2/1/2009 500,19,6,ENE,Clear,0.0,80,7,1013,0,23,18,22,9,22,1
2/1/2009 600,22,7,ENE,Clear,0.0,73,10,1014,0,26,19,24,8,24,1
2/1/2009 700,24,7,NE,Sunny,0.0,64,10,1013,2,27,18,26,9,27,1
2/1/2009 800,26,8,NE,Sunny,0.0,55,10,1013,3,28,17,27,9,28,1
2/1/2009 900,28,8,NE,Sunny,0.0,46,10,1013,5,29,16,29,9,29,1
2/1/2009 1000,28,9,NE,Sunny,0.0,45,10,1012,8,29,16,29,10,29,1
2/1/2009 1100,28,9,NE,Sunny,0.0,44,10,1011,12,29,16,29,11,29,1
2/1/2009 1200,29,10,NE,Sunny,0.0,43,10,1011,15,30,16,29,11,30,1
2/1/2009 1300,27,9,NE,Sunny,0.0,52,10,1011,15,28,16,27,11,28,1
2/1/2009 1400,25,8,NE,Sunny,0.0,61,10,1011,15,27,17,25,11,27,1
2/1/2009 1500,23,6,ENE,Sunny,0.0,69,10,1011,15,25,18,24,12,25,1
2/1/2009 1600,22,7,ENE,Sunny,0.0,74,10,1011,13,24,18,23,12,23,1
2/1/2009 1700,21,7,ENE,Sunny,0.0,78,10,1012,11,22,18,22,12,22,1
2/1/2009 1800,20,7,ENE,Sunny,0.0,83,10,1012,10,21,18,21,12,21,1
2/1/2009 1900,19,7,ENE,Clear,0.0,86,10,1013,10,20,18,20,12,20,1
2/1/2009 2000,19,7,ENE,Clear,0.0,89,10,1013,10,19,17,19,13,19,1
2/1/2009 2100,18,6,NE,Clear,0.0,92,10,1013,10,19,17,19,13,19,1
2/1/2009 2200,17,6,ENE,Clear,0.0,93,7,1013,10,18,17,18,13,18,1
2/1/2009 2300,17,6,ENE,Mist,0.0,94,5,1013,10,18,17,18,12,18,1
3/1/2009 0,17,6,ENE,Mist,0.0,95,2,1012,9,18,17,18,12,18,1
3/1/2009 100,16,6,ENE,Mist,0.0,95,2,1012,8,18,17,18,11,18,1
3/1/2009 200,16,5,ENE,Mist,0.0,96,2,1012,8,17,17,17,10,17,1
3/1/2009 300,16,4,ENE,Mist,0.0,96,2,1013,7,17,17,17,9,17,1
3/1/2009 400,18,5,ENE,Mist,0.0,88,5,1013,6,20,17,19,8,19,1
